Zone,Terminal time
15,3
16,3
43,3
143,3
270,3
588,3
606,3
608,3
617,3
635,3
709,3
871,5
1058,5
1088,3
1096,3
1163,3
1165,3
1183,3
1189,3
1196,3
1200,3
1211,3
1214,3
1222,3
1269,3
1440,3
1441,3
1454,3
1820,5
2193,3
2199,7
2200,3
2204,7
2206,3
2215,7
2239,7
2247,7
2248,7
2258,3
2279,3
2374,3
2380,3
2388,3
2392,3
2393,3
2397,3
2401,3
2416,3
2418,3
2421,3
2427,3
2430,3
2436,3
2675,3
2785,3
2804,3
2838,3
3092,3
3098,10
3112,10
3131,10
3142,10
3144,5
3176,10
3181,4
3190,5
3196,3
3210,4
3320,3
3325,3
3362,3
3392,3
3393,3
3419,3
3420,3
3425,3
3427,3
3446,3
3450,3
3472,3
3473,3
3485,3
3503,3
3510,3
3515,3
3516,3
3522,3
3547,3
3550,3
3551,3
3563,5
3571,3
3573,3
3574,3
3576,5
3605,3
3608,3
3609,3
3628,5
3635,3
3637,3
3648,3
3649,3
3652,5
3660,5
3668,5
3674,3
3675,5
3692,5
3694,5
3695,5
3699,3
3701,3
3719,3
3723,5
3724,3
3726,3
3748,5
3751,5
3756,3
3765,3
3766,3
3776,3
3791,3
3792,3
3793,3
3818,3
3819,3
3820,4
3829,4
3830,4
3834,4
3835,4
3836,4
3840,4
3842,4
3844,3
3845,3
3847,4
3848,4
3850,4
3851,4
3852,4
3854,4
3857,4
3858,4
3860,4
3863,4
3864,5
3870,4
3871,4
3872,4
3873,4
3874,4
3877,4
3886,4
3887,4
3888,4
3889,4
3890,4
3891,4
3892,5
3893,5
3894,4
3905,5
3906,5
3907,5
3908,5
3909,5
3910,5
3911,5
3912,5
3913,5
3914,5
3915,4
3916,4
3926,4
3928,4
3929,4
3930,5
3931,5
3932,5
3933,5
3934,5
3935,5
3936,5
3937,5
3938,5
3939,5
3940,5
3941,5
3942,5
3943,4
3944,5
3947,4
3948,4
3952,4
3953,5
3954,5
3955,5
3956,5
3957,5
3958,5
3959,5
3960,5
3961,5
3962,5
3963,5
3964,5
3965,5
3966,4
3967,4
3974,5
3976,5
3977,5
3978,5
3979,5
3980,5
3981,5
3982,5
3983,5
3984,5
3985,5
3986,5
3987,4
3988,4
3989,4
3997,4
3998,4
3999,4
4000,4
4001,4
4002,4
4003,4
4004,5
4005,5
4006,5
4007,5
4008,5
4009,5
4010,5
4011,5
4012,5
4013,5
4014,4
4019,4
4020,4
4021,4
4022,5
4023,5
4024,5
4025,5
4026,5
4027,5
4029,4
4030,4
4031,4
4032,4
4033,4
4034,4
4035,4
4036,5
4037,5
4038,5
4039,5
4040,5
4041,4
4047,3
4048,4
4049,5
4050,5
4051,5
4052,5
4053,5
4054,5
4055,5
4056,5
4057,5
4058,4
4059,4
4060,4
4061,4
4062,4
4063,4
4075,4
4077,5
4078,5
4079,5
4080,5
4081,4
4082,4
4083,4
4084,4
4085,5
4086,4
4087,4
4088,4
4089,4
4090,4
4091,4
4092,4
4100,5
4101,5
4102,5
4103,5
4104,5
4105,5
4106,5
4107,5
4108,5
4109,4
4110,4
4111,4
4112,4
4113,4
4114,4
4115,4
4116,4
4117,4
4118,4
4123,4
4124,4
4125,4
4126,4
4128,4
4129,4
4130,4
4131,4
4132,4
4133,4
4134,4
4135,4
4136,4
4137,4
4138,4
4139,4
4140,4
4141,4
4142,4
4143,4
4153,4
4154,4
4155,4
4156,4
4157,4
4158,4
4159,4
4160,4
4161,4
4162,4
4163,4
4164,4
4165,4
4166,4
4167,4
4169,4
4172,4
4173,4
4174,4
4175,4
4176,4
4177,4
4178,4
4179,4
4180,4
4181,4
4182,4
4183,4
4185,4
4193,3
4194,3
4195,4
4196,4
4198,4
4199,4
4200,4
4201,4
4202,4
4212,4
4213,4
4214,4
4215,4
4216,4
4224,4
4227,4
4243,3
4314,3
4330,3
4341,3
4423,3
4592,3
4653,3
4658,3
4676,3
4678,3
4692,3
4696,3
4982,3
4983,3
