Geo,Year,FuelCost.2010,PowerCost.2010
12,2016,2.33,0.15
19,2016,2.33,0.15
18,2016,2.33,0.15
7,2016,2.33,0.15
15,2016,2.33,0.15
1,2016,2.33,0.15
14,2016,2.33,0.15
6,2016,2.33,0.15
13,2016,2.33,0.15
17,2016,2.33,0.15
4,2016,2.33,0.15
16,2016,2.33,0.15
5,2016,2.33,0.15
9,2016,2.33,0.15
10,2016,2.33,0.15
3,2016,2.33,0.15
11,2016,2.33,0.15
2,2016,2.33,0.15
8,2016,2.33,0.15
12,2035,3.62,0.17
19,2035,3.62,0.17
18,2035,3.62,0.17
7,2035,3.62,0.17
15,2035,3.62,0.17
1,2035,3.62,0.17
14,2035,3.62,0.17
6,2035,3.62,0.17
13,2035,3.62,0.17
17,2035,3.62,0.17
4,2035,3.62,0.17
16,2035,3.62,0.17
5,2035,3.62,0.17
9,2035,3.62,0.17
10,2035,3.62,0.17
3,2035,3.62,0.17
11,2035,3.62,0.17
2,2035,3.62,0.17
8,2035,3.62,0.17
