Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
12,2016,0,0,0,0,0,0
19,2016,0,3047,12099,102,0,0
18,2016,0,0,0,0,0,0
7,2016,0,0,0,0,0,0
15,2016,0,1034,161,28,0,0
1,2016,0,0,0,0,0,0
14,2016,0,14025,18221,2007,26,0
6,2016,0,0,0,0,0,0
13,2016,0,0,0,0,0,0
17,2016,0,0,0,0,0,0
4,2016,0,0,0,0,0,0
16,2016,0,0,0,0,0,0
5,2016,0,56,69,12,3,0
9,2016,0,0,0,0,0,0
10,2016,0,0,0,0,0,0
3,2016,0,512,4743,1147,15,0
11,2016,0,380,3761,827,3,0
2,2016,0,0,0,0,0,0
8,2016,0,0,0,0,0,0
12,2035,0,0,0,0,0,0
19,2035,0,3441,13647,115,0,0
18,2035,0,0,0,0,0,0
7,2035,0,0,0,0,0,0
15,2035,0,2325,875,57,3,0
1,2035,0,0,0,0,0,0
14,2035,0,20381,25480,2603,39,0
6,2035,0,0,0,0,0,0
13,2035,0,0,0,0,0,0
17,2035,0,0,0,0,0,0
4,2035,0,0,0,0,0,0
16,2035,0,0,0,0,0,0
5,2035,0,56,69,12,3,0
9,2035,0,0,0,0,0,0
10,2035,0,0,0,0,0,0
3,2035,0,512,4743,1147,15,0
11,2035,0,409,4077,901,4,0
2,2035,0,0,0,0,0,0
8,2035,0,0,0,0,0,0
