Geo,Year,AutoMeanAge,LtTrkMeanAge
12,2016,12.88,13.71
19,2016,12.62,13.89
18,2016,13.07,13.99
7,2016,12.75,13.94
15,2016,12.83,13.23
1,2016,12.18,13.29
14,2016,13.02,13.42
6,2016,13.51,13.99
13,2016,12.77,13.63
17,2016,13.14,11.76
4,2016,11.22,10.2
16,2016,13.8,13.67
5,2016,13.99,13.99
9,2016,13.18,13.57
10,2016,13.99,13.64
3,2016,13.7,12.84
11,2016,13.99,13.99
2,2016,13.02,13.99
8,2016,13.3,13.99
12,2035,13.99,13.99
19,2035,13.99,13.99
18,2035,13.99,13.99
7,2035,13.99,13.99
15,2035,13.99,13.99
1,2035,13.53,13.99
14,2035,13.99,13.99
6,2035,13.99,13.99
13,2035,13.99,13.99
17,2035,13.99,13.44
4,2035,12.47,11.66
16,2035,13.99,13.99
5,2035,13.99,13.99
9,2035,13.99,13.99
10,2035,13.99,13.99
3,2035,13.99,13.99
11,2035,13.99,13.99
2,2035,13.99,13.99
8,2035,13.99,13.99
