Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
12,2016,0.690014542,0.946079669,0.899264912,0.905210251,0.980778032
19,2016,0.69569765,0.871842371,0.913490222,0.943816254,1.051685909
18,2016,0.70124805,0.889329063,0.892839297,0.95477588,0.954826438
7,2016,0.624623116,0.922327264,0.894913578,0.96099486,0.953047264
15,2016,0.614137087,0.914296442,0.926695752,0.967687596,0.913355673
1,2016,0.634070625,0.894714261,0.94879286,1.021899206,1.254061079
14,2016,0.481020535,0.836910127,0.937838796,0.957839537,1.122567207
6,2016,0.625581395,0.81108962,0.974630021,0.999673363,1.205362236
13,2016,0.562986003,0.866054702,0.972756543,0.998122653,0.965543645
17,2016,0.432539683,0.99068323,0.991755319,1.096212121,1.381374723
4,2016,1.458333333,0.685082873,1.000877193,1.083333333,2.01242236
16,2016,0.673667205,0.926668973,0.964425306,1.056012849,0.944095038
5,2016,0.506838294,0.862174319,0.849741875,0.842287902,0.951168614
9,2016,0.340304183,0.824253076,0.928114311,0.987565938,0.846641318
10,2016,0.391171994,0.823872851,0.937654411,0.88224211,0.892361111
3,2016,0.95691906,1.025556081,0.977897474,0.90615289,1.120200334
11,2016,0.526737968,0.878051143,0.923177622,0.857066238,0.913407821
2,2016,0.332688855,0.793880583,0.926177549,0.975989867,0.863319116
8,2016,0.36809816,0.796580189,0.95245559,0.791147994,0.89213894
12,2035,0.757315374,0.93215131,0.894160428,0.909437644,0.889165836
19,2035,0.714915852,0.85677318,0.907754263,0.946605776,0.853908095
18,2035,0.713667508,0.867632267,0.884079602,0.952709525,0.848583523
7,2035,0.631268437,0.905054872,0.872676645,0.955580632,0.825
15,2035,0.578538103,0.861875085,0.930583226,0.944177572,0.818729097
1,2035,0.641123883,0.875378508,0.945073375,1.026632302,1.00463065
14,2035,0.488321402,0.824737471,0.923212236,0.950111997,0.986712167
6,2035,0.615209125,0.802688242,0.97544574,1.038241356,0.893558523
13,2035,0.601748808,0.8568648,0.967819293,1.017952128,0.720207254
17,2035,0.402597403,0.981502242,0.984062737,1.090384615,1.168810289
4,2035,1.6,0.625742574,0.996575342,1.155063291,1.599033816
16,2035,0.65078125,0.893119007,0.956652872,1.053322166,0.786757546
5,2035,0.5621852,0.84355165,0.850734303,0.830964389,0.792207792
9,2035,0.354134165,0.800495797,0.923291215,0.99980012,0.680230326
10,2035,0.417871222,0.811818412,0.919617099,0.817811409,0.812048193
3,2035,0.945695364,1.015019525,0.975421107,0.937547028,1.026281209
11,2035,0.599565217,0.86551065,0.925556734,0.848428343,0.791267943
2,2035,0.334942821,0.787702683,0.92403753,0.974236247,0.766722951
8,2035,0.396978022,0.798827667,0.948435973,0.814569536,0.821235103
