Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
12,2016,3.0,10,20
19,2016,3.0,10,20
18,2016,5.0,10,20
7,2016,3.0,10,20
15,2016,5.0,10,20
1,2016,3.0,10,20
14,2016,4.222841225626741,10,20
6,2016,5.0,10,20
13,2016,5.0,10,20
17,2016,5.0,10,20
4,2016,5.0,10,20
16,2016,5.0,10,20
5,2016,3.0,10,20
9,2016,3.0,10,20
10,2016,5.0,10,20
3,2016,3.0,10,20
11,2016,5.0,10,20
2,2016,3.0,10,20
8,2016,5.0,10,20
12,2035,3.0,10,20
19,2035,3.0,10,20
18,2035,5.0,10,20
7,2035,3.0,10,20
15,2035,5.0,10,20
1,2035,3.0,10,20
14,2035,4.222841225626741,10,20
6,2035,5.0,10,20
13,2035,5.0,10,20
17,2035,5.0,10,20
4,2035,5.0,10,20
16,2035,5.0,10,20
5,2035,3.0,10,20
9,2035,3.0,10,20
10,2035,5.0,10,20
3,2035,3.0,10,20
11,2035,5.0,10,20
2,2035,3.0,10,20
8,2035,5.0,10,20
